Pose,Real_Class,Docking_score
CHEMBL1081950_size_20_004,Inactive,-3.5
CHEMBL1081951_size_20_001,Inactive,-4.8
CHEMBL1081951_size_20_002,Inactive,-3.1
CHEMBL1081951_size_20_003,Inactive,-2.7
CHEMBL1081962_size_20_001,Inactive,-3.5
CHEMBL1081963_size_20_001,Inactive,-3.8
CHEMBL1081964_size_20_001,Inactive,-6.9
CHEMBL1081964_size_20_002,Inactive,-6.6
CHEMBL1081964_size_20_003,Inactive,-5.5
CHEMBL1081964_size_20_004,Inactive,-5
CHEMBL1082089_size_20_001,Inactive,-7.6
CHEMBL1082089_size_20_002,Inactive,-6.1
CHEMBL1082089_size_20_003,Inactive,-5.6
CHEMBL1082089_size_20_004,Inactive,-5.4
CHEMBL1082090_size_20_001,Inactive,-4.6
CHEMBL1082114_size_20_001,Inactive,-3.1
CHEMBL1082114_size_20_002,Inactive,-1.9
CHEMBL1082115_size_20_001,Inactive,-5.7
CHEMBL1082116_size_20_001,Inactive,-8.9
CHEMBL1082116_size_20_002,Inactive,-8.4
CHEMBL1082116_size_20_003,Inactive,-7.8
CHEMBL1082116_size_20_004,Inactive,-6.8
CHEMBL1082117_size_20_001,Inactive,-8.4
CHEMBL1082118_size_20_001,Inactive,-6.8
CHEMBL1082118_size_20_002,Inactive,-6.2
CHEMBL1082118_size_20_003,Inactive,-4.5
CHEMBL1082131_size_20_001,Inactive,-6.3
CHEMBL1082131_size_20_002,Inactive,-5
CHEMBL1082137_size_20_001,Inactive,-5.6
CHEMBL1082137_size_20_002,Inactive,-4.3
CHEMBL1082475_size_20_001,Inactive,-7.7
CHEMBL1082475_size_20_002,Inactive,-6.9
CHEMBL1082475_size_20_003,Inactive,-6.4
CHEMBL1082475_size_20_004,Inactive,-5.4
CHEMBL1083698_size_20_001,Inactive,-8.6
CHEMBL1083698_size_20_002,Inactive,-7
CHEMBL1084319_size_20_001,Inactive,-8.6
CHEMBL1084319_size_20_002,Inactive,-6.8
CHEMBL1084319_size_20_003,Inactive,-6.1
CHEMBL1084322_size_20_001,Inactive,-8.2
CHEMBL1084322_size_20_002,Inactive,-6
CHEMBL1084322_size_20_003,Inactive,-5.8
CHEMBL1084322_size_20_004,Inactive,-5.6
CHEMBL1084547_size_20_001,Inactive,-8.3
CHEMBL1084547_size_20_002,Inactive,-8.3
CHEMBL1084548_size_20_001,Inactive,-6.8
CHEMBL1084548_size_20_002,Inactive,-6.7
CHEMBL1084548_size_20_003,Inactive,-6.1
CHEMBL1084549_size_20_001,Inactive,-8
CHEMBL1084549_size_20_002,Inactive,-7.5
CHEMBL1084549_size_20_003,Inactive,-6.4
CHEMBL1084549_size_20_004,Inactive,-6
CHEMBL1086516_size_20_001,Inactive,-8.7
CHEMBL1086516_size_20_002,Inactive,-8.1
CHEMBL1086516_size_20_003,Inactive,-7.4
CHEMBL1086620_size_20_001,Inactive,-10.6
CHEMBL1086620_size_20_002,Inactive,-8.6
CHEMBL1087336_size_20_001,Inactive,-9.8
CHEMBL1087339_size_20_001,Inactive,-5.9
CHEMBL1087375_size_20_001,Inactive,-8.4
CHEMBL1087375_size_20_002,Inactive,-8.1
CHEMBL1087375_size_20_003,Inactive,-7.9
CHEMBL1087375_size_20_004,Inactive,-7.7
CHEMBL1087375_size_20_005,Inactive,-7.4
CHEMBL1087460_size_20_001,Inactive,-8
CHEMBL1087461_size_20_001,Inactive,-3.1
CHEMBL1087461_size_20_002,Inactive,-2.5
CHEMBL1087461_size_20_003,Inactive,-0.8
CHEMBL1087465_size_20_001,Inactive,0
CHEMBL1087465_size_20_002,Inactive,2
CHEMBL1087465_size_20_003,Inactive,2.9
CHEMBL1087581_size_20_001,Inactive,-8.8
CHEMBL1087581_size_20_002,Inactive,-8.7
CHEMBL1087581_size_20_003,Inactive,-8
CHEMBL1087581_size_20_004,Inactive,-7.5
CHEMBL1087581_size_20_005,Inactive,-6.9
CHEMBL1087583_size_20_001,Inactive,-3.9
CHEMBL1087583_size_20_002,Inactive,-3.8
CHEMBL1087583_size_20_003,Inactive,-2.6
CHEMBL1087584_size_20_001,Inactive,-4.4
CHEMBL1087584_size_20_002,Inactive,-1.9
CHEMBL1087588_size_20_001,Inactive,-5.5
CHEMBL1087589_size_20_001,Inactive,-5.5
CHEMBL1087589_size_20_002,Inactive,-4.7
CHEMBL108766_size_20_001,Inactive,-5.7
CHEMBL108766_size_20_002,Inactive,-5.7
CHEMBL108766_size_20_003,Inactive,-5.2
CHEMBL108766_size_20_004,Inactive,-5.1
CHEMBL108766_size_20_005,Inactive,-4.2
CHEMBL108766_size_20_006,Inactive,-3.2
CHEMBL1087712_size_20_001,Inactive,-8.8
CHEMBL1087715_size_20_001,Inactive,-7
CHEMBL1087715_size_20_002,Inactive,-6.2
CHEMBL1087830_size_20_001,Inactive,-5.5
CHEMBL1087830_size_20_002,Inactive,-4.9
CHEMBL1087830_size_20_003,Inactive,-3.4
CHEMBL1087830_size_20_004,Inactive,-2.6
